Period,Provider_Code,Count_Join_Key,Sum_TotalCost,POD,HRG_Episode,TFC,EpType_Code,DATASET
FY2020-21,RQM,*,251.951583,NES,MA08B,502,2,PL_APC
FY2020-21,RA7,*,4623.224246,NEL,EC11C,221,1,PL_APC
FY2020-21,RX1,*,566.1105111,NEL,DZ24J,300,2,PL_APC
FY2020-21,RYJ,*,3886.441967,NES,PW20A,253,1,PL_APC
FY2020-21,RHQ,12,447690.371,EL,UZ01Z,323,2,PL_APC
FY2020-21,RWP,*,3492.008136,NEL,NZ19A,560,2,PL_APC
FY2020-21,RX1,*,44268.9915,EL,AA50A,150,2,PL_APC
FY2020-21,RQM,*,336.1638056,NES,DZ11T,410,2,PL_APC
FY2020-21,RR8,*,1893.317478,EL,MA27Z,503,1,PL_APC
FY2020-21,RHQ,*,74975.08476,EL,VA10C,323,1,PL_APC
FY2020-21,RAE,*,301.7903886,NES,FF05Z,104,1,PL_APC
FY2020-21,RXH,*,16875.36171,NEL,ED27B,170,2,PL_APC
FY2020-21,RGT,*,19271.82856,EL,LA01A,102,2,PL_APC
FY2020-21,RHQ,*,5076.171292,EL,VA10D,323,1,PL_APC
FY2020-21,RTG,*,76225.48492,NEL,FD11G,315,1,PL_APC
FY2020-21,RP4,*,3755.610746,EL,FE23D,221,2,PL_APC
FY2020-21,RAL,*,20152.21519,NEL,FD01D,350,2,PL_APC
FY2020-21,RXF,*,1338.386512,NEL,CB02E,328,2,PL_APC
FY2020-21,RNZ,*,6529.361496,NEL,MB05K,315,2,PL_APC
FY2020-21,RC9,*,1895.701111,NEL,GC17B,300,2,PL_APC
FY2020-21,RL4,*,7325.979029,NEL,CB02B,140,1,PL_APC
FY2020-21,RHQ,*,1049.428767,NEL,DZ22P,340,1,PL_APC
FY2020-21,RJ7,*,3139.800776,NES,FD10K,100,1,PL_APC
FY2020-21,RTK,*,1311.354436,NES,AA35B,328,1,PL_APC
FY2020-21,RR8,*,6864.829658,NEL,EC11B,321,1,PL_APC
FY2020-21,RHQ,*,90340.70529,EL,VA12D,323,1,PL_APC
FY2020-21,RA7,*,56161.43699,NEL,WJ01A,308,1,PL_APC
FY2020-21,RGR,*,20799.15368,NEL,DZ10H,340,2,PL_APC
FY2020-21,RM3,*,5635.041758,NEL,LA07P,361,2,PL_APC
FY2020-21,RXN,*,3209.011037,NEL,WJ06G,307,2,PL_APC
FY2020-21,RD1,*,3076.911668,NEL,FD05B,100,1,PL_APC
FY2020-21,RPY,*,491.3432391,EL,FD11K,305,1,PL_APC
FY2020-21,RGM,*,58041.12486,EL,DZ01Z,174,2,PL_APC
FY2020-21,RTD,13,279216.8422,EL,UZ01Z,308,2,PL_APC
FY2020-21,RK9,*,3693.661671,NEL,NZ50B,501,2,PL_APC
FY2020-21,RXF,*,685.795951,NES,HE21G,110,2,PL_APC
FY2020-21,R1H,*,2809.215367,NEL,GC17J,105,2,PL_APC
FY2020-21,RWD,*,2074.583684,NES,CA85A,314,1,PL_APC
FY2020-21,RAE,9,58966.74344,NEL,DX11A,430,1,PL_APC
FY2020-21,RHQ,*,104586.2846,NEL,AA61A,323,1,PL_APC
FY2020-21,RTE,*,1240.304977,NES,SA09K,303,1,PL_APC
FY2020-21,R0B,*,1128.498829,NEL,GC17A,190,2,PL_APC
FY2020-21,REM,*,1457.394221,NEL,DZ11S,302,2,PL_APC
FY2020-21,REM,*,96207.60554,EL,FE10A,105,2,PL_APC
FY2020-21,RDE,*,4256.878437,EL,MA06B,503,1,PL_APC
FY2020-21,RA7,*,5466.191729,EL,EC13A,221,1,PL_APC
FY2020-21,RJE,*,3494.11791,EL,VA10D,108,2,PL_APC
FY2020-21,RK9,*,220.0215905,NES,LB15E,105,2,PL_APC
FY2020-21,RGM,*,36214.24126,EL,DZ11S,174,2,PL_APC
FY2020-21,RXC,*,19166.78212,NEL,DZ11N,430,2,PL_APC
FY2020-21,RHQ,*,36262.08872,NEL,HC20H,323,1,PL_APC
FY2020-21,RXF,*,21159.51223,NEL,JB51A,220,2,PL_APC
FY2020-21,RYJ,*,446.6966492,NES,NZ50A,501,1,PL_APC
FY2020-21,RGT,*,6751.02519,EL,KA04B,105,2,PL_APC
FY2020-21,RCD,12,88774.03164,NEL,UZ01Z,340,2,PL_APC
FY2020-21,RHQ,*,66885.44442,NEL,HC20J,323,1,PL_APC
FY2020-21,RHQ,*,37742.8978,NEL,HC21D,323,1,PL_APC
FY2020-21,RR8,*,13061.48301,NEL,SA31C,410,1,PL_APC
FY2020-21,RTR,*,1505.541981,NES,NZ17B,501,2,PL_APC
FY2020-21,REM,*,4400.165037,EL,GA10N,105,2,PL_APC
FY2020-21,R1H,*,4134.46419,NEL,WD08Z,306,2,PL_APC
